Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Consumption Tips
Masala green chilli pakora/pakoda (Hari mirch kay pakode),668.76,5.55,2.22,71.01,0.27,1.34,0,8.58,Opt for smaller servings and pair with salads or raw vegetables for balance. | Enjoy in controlled portions; best reserved as an occasional indulgence.
Chicken pakora/pakoda,590.09,4.55,6.03,60.98,0.22,0.96,11.98,9.08,Balance with lighter meals throughout the day to manage daily calorie intake. | Opt for smaller servings and pair with salads or raw vegetables for balance.
Fish pakora/pakoda,577.03,4.55,5.97,59.52,0.22,0.96,9.04,12.65,Combining with a protein source makes this a more complete and satisfying meal. | Balance with lighter meals throughout the day to manage daily calorie intake.
Paneer cutlet,672.2,7.62,4.59,69.38,2.52,0.39,0,107.86,Excellent for bone and dental health — especially beneficial for growing children. | Opt for smaller servings and pair with salads or raw vegetables for balance.
Sago cutlet/vadas (Sabudana cutlet/vadas),558.76,11.23,0.56,56.97,0.1,0.54,0,5.43,"Opt for smaller servings and pair with salads or raw vegetables for balance. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Poshtik cutlet,496.45,7.39,2,50.94,0.32,1.35,0,14.94,A great option during festive occasions — just keep portions in check. | Moderate fat content — suitable for active individuals with higher energy demands.
Egg cutlet (Anda cutlet),575.02,5.77,2.45,60.25,0.2,0.58,45,16.22,Fresh preparation retains the most nutrients; avoid overcooking. | Ideal when combined with seasonal vegetables for a wholesome meal.
Minced meat cutlet,531.86,5.61,5.1,54.47,0.31,0.4,16.5,20.82,Opt for smaller servings and pair with salads or raw vegetables for balance. | A great option during festive occasions — just keep portions in check.
Vegetable samosa,443.11,13.22,2.21,42.22,0.74,1.52,4.06,10.37,Fresh preparation retains the most nutrients; avoid overcooking. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),745.5,9.7,4.39,76.32,0.16,2.27,0,10.6,Rich in fats — consume mindfully and balance with active movement during the day. | Fresh preparation retains the most nutrients; avoid overcooking.
Masala urad dal vada,703.78,9.93,4.32,71.62,0.7,2.71,0,11.87,Combining with a protein source makes this a more complete and satisfying meal. | Ideal when combined with seasonal vegetables for a wholesome meal.
Khaman (dhokla),54.73,5.36,1.92,2.8,1.36,1.49,0,5.31,Pair with a glass of water or herbal tea for optimal digestive comfort. | Light on the digestive system; suitable for those recovering from illness.
Instant dhokla,207.11,24.11,7.66,9.37,6.86,3.57,2.59,66.58,Ideal for breakfast or lunch to sustain energy and curb hunger longer. | Fresh preparation retains the most nutrients; avoid overcooking.
Tomato ginger chutney (Tamatar adarak ki chutney),44.66,9.11,1.05,0.32,6.31,2.14,0,23.63,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Very low in fat — an excellent choice for heart-healthy and low-fat diets."
Mint tomato chutney (Pudinay aur tamatar ki chutney),43.65,8.22,1.53,0.36,5.48,2.63,0,47.59,Include in your weekly rotation to diversify your nutritional intake. | Combining with a protein source makes this a more complete and satisfying meal.
Coriander chutney (Hare dhaniye ki chutney),42.86,8.16,1.38,0.37,5.5,2.47,0,39.8,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | A great option during festive occasions — just keep portions in check.
Gooseberry chutney (Amla chutney),43.02,8.83,1.44,0.62,0.06,4.58,0,46.4,Ideal when combined with seasonal vegetables for a wholesome meal. | A smart low-calorie option — ideal for weight management plans.
Walnut chutney (Akhrot ki chutney),370.43,8.91,9.44,33.46,4.4,3.04,3.33,119.57,Pair with a glass of water or herbal tea for optimal digestive comfort. | Fresh preparation retains the most nutrients; avoid overcooking.
Saunth/Sonth chutney with ginger,84.22,20.62,0.28,0.11,19.04,0.31,0,15.17,Consume in moderate portions and savour mindfully for maximum enjoyment. | Can be eaten generously without fear of calorie overload; great as a snack.
Gun powder chutney,312.34,47.65,21.55,2.67,1.16,13.95,0,68.87,Pair with a glass of water or herbal tea for optimal digestive comfort. | A good addition for elderly individuals to maintain healthy bone density.
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,346.36,36.72,12.88,15.88,10.41,13.16,0,73.55,Excellent choice for those managing cholesterol or blood sugar levels. | Add a side of leafy greens to boost micronutrient absorption.
Curd mint dip ,76.13,9.11,4.82,2.44,7.83,0.77,8.34,172.79,Works well as a side dish or main course depending on your daily energy needs. | Include in evening meals for light yet satisfying nourishment.
Curd vegetable dip,56.21,6.04,3.88,1.94,5.42,0.63,6.59,129.58,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | A smart low-calorie option — ideal for weight management plans.
Mayonnaise vegetable dip,241.27,4.8,3.01,23.44,4.39,0.41,29.91,91.42,A good addition for elderly individuals to maintain healthy bone density. | A great option during festive occasions — just keep portions in check.
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),150.68,20.51,4.03,6.31,1.79,2.1,13.52,76.75,Consume in moderate portions and savour mindfully for maximum enjoyment. | Include in your weekly rotation to diversify your nutritional intake.
Tomato sandwich (grilled),189.92,21.29,6.26,9.39,2.58,1.91,24.95,150.9,A good addition for elderly individuals to maintain healthy bone density. | Works well as a side dish or main course depending on your daily energy needs.
French sandwich (toasted),186.75,14.82,6.82,11.51,1.82,1.37,104.86,100.73,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Pair with Vitamin D sources like sunlight or eggs for better calcium absorption."
Peanut butter cucumber sandwich,243.33,29.76,9.04,10.56,2.91,3.35,0,95.35,A great option during festive occasions — just keep portions in check. | Fresh preparation retains the most nutrients; avoid overcooking.
Mint and peanut sandwich,273.59,31.83,7.18,13.88,2.78,3.67,21.7,114.99,Combining with a protein source makes this a more complete and satisfying meal. | A good addition for elderly individuals to maintain healthy bone density.
Spicy chutney sandwich,249.58,34.03,8.74,9.58,3.96,3.73,2.86,154.53,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Fresh preparation retains the most nutrients; avoid overcooking."
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),285.78,22.62,12.58,16.77,1.77,1.53,31.68,78.45,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Ideal when combined with seasonal vegetables for a wholesome meal."
Rolled sandwich,293.07,34.69,6.45,15.29,2.7,2.07,35.25,117.68,Fresh preparation retains the most nutrients; avoid overcooking. | Pair with Vitamin D sources like sunlight or eggs for better calcium absorption.
Ribbon sandwich,239.26,24.76,6.26,13.37,4.66,2.92,34.85,157.85,A great option during festive occasions — just keep portions in check. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Checker board sandwich,348.37,25.94,7.37,24.65,2.9,2.22,64.42,188.02,Ideal for breakfast or lunch to sustain energy and curb hunger longer. | Moderate fat content — suitable for active individuals with higher energy demands.
Submarine sandwich,216.92,13.6,6.09,15.32,2.5,1.24,62.46,72.35,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Combining with a protein source makes this a more complete and satisfying meal."
Cheese open sandwich,274.07,28.42,9.84,14.24,3.24,1.74,28.38,256.25,Pair with a glass of water or herbal tea for optimal digestive comfort. | A good addition for elderly individuals to maintain healthy bone density.
Sunset and sunrise open sandwich,241.31,18.89,8.58,15.14,1.95,1.39,123.49,114.07,Pair with Vitamin D sources like sunlight or eggs for better calcium absorption. | Ideal for breakfast or lunch to sustain energy and curb hunger longer.
Danish luncheon sandwich,193.82,17.77,9.03,10.1,1.13,1.52,124.4,77.13,Those with cardiovascular conditions should limit intake to once or twice a week. | Ideal for breakfast or lunch to sustain energy and curb hunger longer.
Chicken and corn open sandwich,188.16,19.21,8.63,8.83,2.48,1.67,31.78,65.13,"Include in your weekly rotation to diversify your nutritional intake. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Chocolate sponge cake,239.86,39.54,9.13,5.51,25,0.52,173.46,33.99,Ideal when combined with seasonal vegetables for a wholesome meal. | Ideal for breakfast or lunch to sustain energy and curb hunger longer.
Chocolate swiss roll,306.08,26.97,6.01,19.76,18.83,0.29,138.28,42.79,Those with cardiovascular conditions should limit intake to once or twice a week. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Lemon curd filling,225.62,26.41,3.43,12.58,26.13,0,118.13,16.39,Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact. | Limit frequency for those managing diabetes or insulin sensitivity.
Jam filling,184.62,46.15,0,0,41.54,0,0,0,Works well as a side dish or main course depending on your daily energy needs. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Chocolate pastry,243.37,32.24,7.05,10.12,22.34,0.32,121.03,50.7,A great option during festive occasions — just keep portions in check. | Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact.
Assorted pastry,230.74,31.99,6.78,8.91,19.7,0.43,131.02,47.2,Works well as a side dish or main course depending on your daily energy needs. | Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact.
Orange gateau,178.05,27.01,4.78,6.02,18.33,0.68,87.91,41.69,Include in your weekly rotation to diversify your nutritional intake. | Combining with a protein source makes this a more complete and satisfying meal.
Black forest gateau,217.82,30.57,5.94,8.58,21.97,0.28,107.21,46.79,"Fresh preparation retains the most nutrients; avoid overcooking. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Lemon cake,373.85,43.1,5.29,20.63,25.84,0.62,123.01,32.77,Fresh preparation retains the most nutrients; avoid overcooking. | Limit frequency for those managing diabetes or insulin sensitivity.
Dundee cake,396.62,41.4,7.78,22.7,21.3,1.81,111.12,58.11,Ideal when combined with seasonal vegetables for a wholesome meal. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Victorian sandwich cake,373.09,44.74,5.18,19.83,28.18,0.59,117.02,36.25,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Consume sparingly; high sugar content may spike blood glucose levels."
Chocolate eggless cake,312.01,43.45,6.66,13.19,34.2,0.32,35.49,185.38,A great option during festive occasions — just keep portions in check. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Orange eggless cake,355.62,52.65,7.16,13.82,37.87,0.56,40.97,205.84,Consume in moderate portions and savour mindfully for maximum enjoyment. | Ideal for breakfast or lunch to sustain energy and curb hunger longer.
Chocolate glace icing,436.29,62.43,3.22,20.8,59.88,0,44.49,26.75,Balance with lighter meals throughout the day to manage daily calorie intake. | Works well as a side dish or main course depending on your daily energy needs.
Butter icing,500.72,71.64,0.19,25.37,71.64,0,65.74,12.48,Ideal when combined with seasonal vegetables for a wholesome meal. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Chocolate butter icing,469.59,61.72,3.21,24.77,59.82,0,54.9,31.87,Consume sparingly; high sugar content may spike blood glucose levels. | Works well as a side dish or main course depending on your daily energy needs.
Almond biscuit (Badam ke biscuit),407.74,52.14,6.25,19.7,22.19,1.5,73.79,44.05,Fresh preparation retains the most nutrients; avoid overcooking. | Consider halving portion size if watching total caloric consumption.
Orange biscuit,354.78,62.11,3.63,11.01,42.63,0.75,51.51,20.35,Combining with a protein source makes this a more complete and satisfying meal. | Consume sparingly; high sugar content may spike blood glucose levels.
Gingerman biscuit,357.43,55.24,6.26,12.73,21.64,2,70.42,41.35,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Consume in moderate portions and savour mindfully for maximum enjoyment."
Coffee drops,443.07,43.06,7.57,27.16,18.27,1.88,94.23,57.09,Consider halving portion size if watching total caloric consumption. | Enjoy in controlled portions; best reserved as an occasional indulgence.
Christmas biscuit,406.07,60.97,5.67,15.88,26.01,2.17,64.54,29.07,Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Christmas wreath biscuit,386.05,58.07,5.43,15.01,24.89,2.28,60.87,29.71,Consume in moderate portions and savour mindfully for maximum enjoyment. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
